epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.4183,1.40442,2.83964,2.37513,1.23322,0.94256,0.37642,0.45011,0.3389,0.89841,0.34231,0.36923,0.2224,0.96996,2.18007,1.46233,0.91399,0.000543587,0.000543587,0.000543587
2,167.883,1.00674,1.86107,0.97862,0.9533,0.94531,0.45259,0.47032,0.34427,0.94375,0.45052,0.46666,0.30789,0.89798,1.4808,1,0.88789,0.00108837,0.00108837,0.00108837
3,248.122,0.97605,1.73154,0.8736,0.93924,0.96168,0.47522,0.48925,0.38148,0.95349,0.46731,0.4722,0.30785,0.82451,1.48469,0.78443,0.87887,0.00162215,0.00162215,0.00162215
4,329.181,0.94477,1.64712,0.81489,0.93696,0.96958,0.48671,0.48805,0.39772,0.95732,0.47335,0.46084,0.30272,0.71662,1.34088,0.61758,0.86824,0.00161749,0.00161749,0.00161749
5,407.436,0.92632,1.59348,0.82899,0.92908,0.96301,0.47126,0.48509,0.393,0.96113,0.46874,0.48387,0.29666,0.73934,1.496,0.69187,0.87208,0.00160099,0.00160099,0.00160099
6,487.256,0.88993,1.55704,0.75664,0.91219,0.96831,0.48296,0.48989,0.39315,0.96831,0.48296,0.48989,0.32928,0.79635,1.09811,0.66184,0.87818,0.00158448,0.00158448,0.00158448
7,567.46,0.85608,1.45773,0.71564,0.90778,0.95467,0.48281,0.48502,0.39264,0.94906,0.48527,0.48143,0.34973,0.7801,0.99907,0.64792,0.87466,0.00156798,0.00156798,0.00156798
8,648.859,0.86895,1.44457,0.7069,0.90759,0.97643,0.47916,0.49322,0.38994,0.97536,0.47808,0.49197,0.34009,0.82079,1.11406,0.66232,0.8861,0.00155148,0.00155148,0.00155148
9,729.721,0.85916,1.42549,0.67487,0.90471,0.97479,0.48455,0.49493,0.39835,0.97592,0.48266,0.4949,0.37489,0.68658,0.99607,0.59135,0.8505,0.00153497,0.00153497,0.00153497
10,809.264,0.85699,1.39846,0.67084,0.90205,0.97235,0.48491,0.50161,0.39514,0.972,0.48455,0.50126,0.34252,0.75681,0.9677,0.63289,0.87563,0.00151847,0.00151847,0.00151847
11,888.031,0.8083,1.3631,0.65048,0.8908,0.97076,0.49153,0.49072,0.38651,0.97076,0.49153,0.49072,0.36003,0.794,1.27145,0.57206,0.86914,0.00150197,0.00150197,0.00150197
12,966.848,0.82686,1.33928,0.64552,0.88865,0.95767,0.47767,0.4867,0.38759,0.95767,0.47701,0.48645,0.36869,0.73019,0.92623,0.62135,0.8784,0.00148546,0.00148546,0.00148546
13,1045.42,0.78835,1.27648,0.6064,0.88237,0.96223,0.47737,0.49052,0.4175,0.96195,0.4753,0.48987,0.34939,0.61476,1.02448,0.58356,0.84742,0.00146896,0.00146896,0.00146896
14,1127.35,0.80574,1.33708,0.60181,0.88463,0.96602,0.49266,0.4886,0.40323,0.96534,0.49195,0.48855,0.35834,0.74535,0.96703,0.57812,0.85473,0.00145246,0.00145246,0.00145246
15,1205.88,0.78083,1.24175,0.57351,0.87559,0.97923,0.48906,0.49483,0.41308,0.97888,0.48871,0.49479,0.38871,0.71922,0.82415,0.51913,0.86053,0.00143595,0.00143595,0.00143595
