epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.7113,2.00581,3.1921,2.77272,1.34921,0.52386,0.4816,0.4883,0.27927,0.50917,0.46432,0.46047,0.20171,1.52311,2.28163,2.10542,1.10058,0.000472553,0.000472553,0.000472553
2,195.391,1.8771,2.87184,1.96782,1.28389,0.54369,0.49594,0.49993,0.27805,0.53792,0.50083,0.50575,0.25847,1.60969,2.18823,1.69456,1.20474,0.000939492,0.000939492,0.000939492
3,292.601,1.85111,2.81813,1.81643,1.27008,0.51611,0.55868,0.54301,0.31004,0.50752,0.54168,0.52003,0.22626,1.54465,2.08199,1.54945,1.17395,0.001397,0.001397,0.001397
4,386.086,1.84537,2.79006,1.72381,1.26354,0.57018,0.64362,0.60827,0.36002,0.55808,0.62816,0.58711,0.28445,1.50273,2.11132,1.52318,1.15471,0.00138656,0.00138656,0.00138656
5,480.186,1.80855,2.73749,1.63471,1.24207,0.48066,0.56777,0.54411,0.33076,0.48183,0.57036,0.5449,0.2603,1.50553,2.12763,1.53182,1.14746,0.00137241,0.00137241,0.00137241
6,571.996,1.78406,2.72406,1.59396,1.23209,0.51412,0.59469,0.5752,0.34743,0.50553,0.58454,0.55901,0.28918,1.44291,2.06285,1.48752,1.11185,0.00135826,0.00135826,0.00135826
7,664.272,1.73929,2.64054,1.51787,1.21943,0.58236,0.64393,0.64951,0.39239,0.61981,0.59358,0.62817,0.32786,1.3935,1.9827,1.33483,1.09459,0.00134412,0.00134412,0.00134412
8,758.076,1.72924,2.63321,1.47993,1.20036,0.59678,0.65293,0.62515,0.37522,0.58057,0.62457,0.59578,0.29729,1.40574,2.01885,1.32178,1.10698,0.00132997,0.00132997,0.00132997
9,850.175,1.72318,2.57842,1.47758,1.20548,0.67691,0.64097,0.68964,0.41297,0.67272,0.63799,0.68096,0.33773,1.41276,2.00681,1.33149,1.09749,0.00131582,0.00131582,0.00131582
10,942.047,1.69101,2.58007,1.42107,1.1859,0.59881,0.6628,0.65029,0.39549,0.59651,0.64649,0.64366,0.33948,1.38566,1.97865,1.27926,1.0973,0.00130168,0.00130168,0.00130168
11,1035.53,1.68396,2.52924,1.41643,1.18792,0.62869,0.70866,0.71129,0.44325,0.63029,0.6966,0.69949,0.36466,1.35031,1.87855,1.17382,1.06473,0.00128753,0.00128753,0.00128753
12,1126.98,1.67137,2.5422,1.37613,1.17897,0.63692,0.71684,0.68698,0.41946,0.6135,0.70089,0.6533,0.30964,1.38335,1.92018,1.25349,1.08017,0.00127338,0.00127338,0.00127338
13,1222.24,1.65784,2.5146,1.3521,1.16988,0.6488,0.67616,0.68368,0.42301,0.63919,0.66899,0.66617,0.32585,1.34942,1.93349,1.23834,1.0787,0.00125923,0.00125923,0.00125923
14,1316.16,1.66315,2.51894,1.35013,1.16563,0.68129,0.67965,0.70145,0.43546,0.67094,0.67343,0.69014,0.35037,1.33217,1.87625,1.17091,1.05449,0.00124509,0.00124509,0.00124509
15,1409.88,1.63038,2.46644,1.31278,1.1647,0.62991,0.67627,0.68304,0.41184,0.64012,0.65096,0.66362,0.34649,1.38518,1.94749,1.26523,1.06364,0.00123094,0.00123094,0.00123094
16,1503.27,1.62237,2.43369,1.28538,1.14714,0.65886,0.70523,0.69458,0.4289,0.65546,0.68718,0.67873,0.36543,1.33732,1.88469,1.23649,1.06072,0.00121679,0.00121679,0.00121679
17,1596.19,1.61353,2.45686,1.30088,1.15161,0.59998,0.71294,0.68914,0.43489,0.59557,0.69246,0.6625,0.34359,1.28867,1.84793,1.1817,1.03527,0.00120265,0.00120265,0.00120265
18,1690.36,1.61159,2.43785,1.28002,1.14938,0.68973,0.70027,0.72205,0.4418,0.68182,0.68196,0.69983,0.34782,1.33453,1.8784,1.12529,1.05907,0.0011885,0.0011885,0.0011885
19,1784.09,1.60137,2.4246,1.24,1.14664,0.67775,0.72234,0.72977,0.45567,0.67354,0.69786,0.71204,0.38497,1.32054,1.80476,1.07544,1.03947,0.00117435,0.00117435,0.00117435
20,1877.13,1.59858,2.41019,1.23042,1.1316,0.70847,0.73483,0.75126,0.47241,0.6863,0.70725,0.71391,0.38501,1.30128,1.75565,1.07835,1.041,0.00116021,0.00116021,0.00116021
21,1972.32,1.58757,2.40328,1.20779,1.13096,0.68079,0.71999,0.72195,0.45319,0.67993,0.69301,0.69124,0.32476,1.29734,1.79142,1.12731,1.03967,0.00114606,0.00114606,0.00114606
22,2067.19,1.58706,2.40909,1.20727,1.12903,0.73649,0.7438,0.77755,0.49683,0.73097,0.72619,0.75529,0.37795,1.26522,1.74743,1.02909,1.03874,0.00113191,0.00113191,0.00113191
23,2160.71,1.56179,2.35907,1.1921,1.11664,0.73303,0.71886,0.76893,0.48617,0.68974,0.7415,0.75227,0.37962,1.26209,1.77647,1.0543,1.02516,0.00111776,0.00111776,0.00111776
24,2254.52,1.55662,2.38536,1.17334,1.11987,0.72168,0.74154,0.75603,0.47671,0.72021,0.72111,0.73557,0.35929,1.28547,1.75299,1.03021,1.02644,0.00110362,0.00110362,0.00110362
25,2347.22,1.5432,2.33441,1.17582,1.10874,0.70219,0.73604,0.75473,0.48306,0.69349,0.72661,0.73976,0.38229,1.27142,1.77114,1.02917,1.02547,0.00108947,0.00108947,0.00108947
26,2439.34,1.55364,2.33435,1.1566,1.12227,0.70194,0.73204,0.74083,0.46006,0.67752,0.69974,0.69766,0.34884,1.32273,1.80868,1.05055,1.04318,0.00107532,0.00107532,0.00107532
27,2533.03,1.54013,2.32738,1.14526,1.11007,0.69573,0.70629,0.7194,0.46127,0.69927,0.68663,0.70386,0.38834,1.30805,1.82233,1.0879,1.03908,0.00106118,0.00106118,0.00106118
28,2626.22,1.52867,2.31073,1.12995,1.10547,0.73418,0.7535,0.77948,0.501,0.73903,0.74706,0.77286,0.40685,1.25569,1.72547,0.99123,1.02862,0.00104703,0.00104703,0.00104703
29,2720.47,1.50913,2.29236,1.11958,1.10147,0.70622,0.76325,0.77733,0.49861,0.70759,0.72297,0.7425,0.36535,1.27379,1.68828,1.00558,1.01325,0.00103288,0.00103288,0.00103288
