epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.7756,1.41542,2.94594,2.37352,1.23876,0.91271,0.23605,0.36489,0.28486,0.89701,0.22707,0.34142,0.18237,0.89492,1.56314,2.02644,0.91309,0.000543587,0.000543587,0.000543587
2,167.163,1.03769,1.9197,0.99981,0.96132,0.92197,0.43707,0.43509,0.34526,0.92058,0.43563,0.43268,0.25716,0.80193,1.58068,1.36571,0.87925,0.00108837,0.00108837,0.00108837
3,247.315,0.96999,1.75801,0.88455,0.93699,0.96705,0.47091,0.4874,0.3798,0.96123,0.46588,0.47497,0.29463,0.83267,1.60664,0.80271,0.90417,0.00162215,0.00162215,0.00162215
4,327.352,0.94745,1.70003,0.82535,0.93364,0.9576,0.48204,0.48098,0.37933,0.95726,0.48168,0.48004,0.30655,0.82401,1.56718,0.72889,0.87915,0.00161749,0.00161749,0.00161749
5,405.326,0.92342,1.59582,0.80854,0.92581,0.96573,0.47773,0.48224,0.39412,0.9628,0.4745,0.47795,0.32351,0.72944,1.14023,0.7117,0.84865,0.00160099,0.00160099,0.00160099
6,483.594,0.87557,1.52424,0.73167,0.90585,0.44261,0.47093,0.47544,0.37603,0.44368,0.46983,0.47449,0.34501,0.67858,0.96082,0.71606,0.85808,0.00158448,0.00158448,0.00158448
7,563.192,0.87827,1.51211,0.70866,0.91178,0.95879,0.47701,0.4845,0.38377,0.95408,0.47234,0.47336,0.30582,0.74723,1.37034,0.69517,0.88683,0.00156798,0.00156798,0.00156798
8,647.293,0.8398,1.39761,0.68489,0.89924,0.96506,0.47812,0.49022,0.40055,0.96506,0.47812,0.49024,0.34661,0.757,1.1108,0.59238,0.8614,0.00155148,0.00155148,0.00155148
9,728.879,0.85199,1.43259,0.68522,0.90095,0.97881,0.4788,0.49223,0.40613,0.97845,0.47844,0.4919,0.35418,0.74066,1.10649,0.64531,0.86068,0.00153497,0.00153497,0.00153497
10,809.763,0.83773,1.39515,0.66988,0.89585,0.97469,0.48513,0.49257,0.40569,0.97469,0.48513,0.49257,0.3745,0.65496,0.83856,0.58208,0.84503,0.00151847,0.00151847,0.00151847
11,892.184,0.81605,1.36696,0.63309,0.89054,0.9781,0.49066,0.49145,0.37624,0.9781,0.49066,0.49145,0.38521,0.8252,0.99603,0.57646,0.87869,0.00150197,0.00150197,0.00150197
12,973.126,0.81743,1.30012,0.62087,0.88417,0.97683,0.48204,0.49307,0.41518,0.97631,0.48204,0.49307,0.36358,0.60734,0.94088,0.55315,0.85233,0.00148546,0.00148546,0.00148546
13,1053.12,0.78087,1.25171,0.59191,0.88184,0.97761,0.48262,0.49397,0.41242,0.97725,0.48226,0.49391,0.36184,0.6313,1.02743,0.5227,0.85077,0.00146896,0.00146896,0.00146896
14,1135.26,0.79932,1.32472,0.60357,0.88503,0.98028,0.48116,0.49268,0.41627,0.97992,0.4808,0.4927,0.36191,0.64701,0.83431,0.5449,0.84702,0.00145246,0.00145246,0.00145246
15,1213.9,0.77583,1.24227,0.57107,0.87314,0.97203,0.48501,0.48957,0.40447,0.97203,0.48501,0.48957,0.36468,0.69781,1.13456,0.60124,0.85571,0.00143595,0.00143595,0.00143595
16,1294.13,0.79845,1.31415,0.57473,0.88137,0.98326,0.48744,0.49323,0.42288,0.98219,0.48637,0.49185,0.36868,0.6307,0.87051,0.49169,0.83837,0.00141945,0.00141945,0.00141945
17,1373.89,0.77741,1.23687,0.564,0.87705,0.97778,0.48655,0.4939,0.39659,0.97707,0.48584,0.49323,0.36086,0.79606,0.82717,0.54147,0.88261,0.00140295,0.00140295,0.00140295
18,1452.54,0.79473,1.22731,0.56366,0.88121,0.97822,0.48635,0.49183,0.40387,0.97822,0.48635,0.49183,0.38387,0.70703,0.74224,0.53453,0.8552,0.00138644,0.00138644,0.00138644
19,1532.33,0.78239,1.23296,0.54781,0.8794,0.98606,0.48843,0.49594,0.42328,0.98606,0.48843,0.49594,0.37282,0.66334,0.87061,0.4851,0.84425,0.00136994,0.00136994,0.00136994
20,1612.65,0.77877,1.24473,0.54071,0.87599,0.9806,0.48348,0.49474,0.41926,0.97963,0.48276,0.4943,0.35886,0.63533,0.8259,0.49408,0.84454,0.00135344,0.00135344,0.00135344
21,1692.23,0.73966,1.17049,0.52777,0.86939,0.97832,0.49102,0.4935,0.42666,0.97832,0.49102,0.4935,0.36838,0.58642,0.76187,0.5091,0.83439,0.00133693,0.00133693,0.00133693
22,1774.34,0.77153,1.21116,0.53538,0.87533,0.98499,0.48994,0.49506,0.41098,0.98499,0.48994,0.49506,0.37875,0.73653,0.85495,0.4915,0.86852,0.00132043,0.00132043,0.00132043
23,1855.41,0.7605,1.23581,0.52296,0.87182,0.97975,0.48348,0.49372,0.40762,0.9794,0.48312,0.49369,0.3782,0.69076,1.00791,0.4826,0.85688,0.00130393,0.00130393,0.00130393
